id,correcta,puntaje_obtenido,pregunta_id,respuesta_id,quizUser_id,nombreUser_id,uso_ayuda,dificultad,tiempo_pregunta
1259,1,1,9,21,135,135,0,1,240
1260,1,1,17,43,135,135,0,1,18
1261,0,0,5,12,135,135,0,2,256
1262,1,1,12,31,135,135,0,1,22
1263,0,0,28,76,135,135,0,2,287
1264,1,1,3,7,135,135,0,1,35
1265,1,2,11,27,135,135,0,2,297
1266,1,1,19,49,135,135,0,1,52
1267,1,2,28,77,136,136,0,2,35
1268,1,3,33,90,136,136,0,3,16
1269,0,0,35,94,136,136,0,3,60
1270,0,0,10,26,136,136,0,2,65
1271,1,1,4,11,136,136,0,1,73
1272,0,0,20,52,136,136,0,2,81
1273,1,1,9,21,136,136,0,1,101
1274,0,0,16,40,136,136,0,1,155
1275,1,1,14,36,136,136,0,1,96
1276,0,0,7,16,136,136,0,1,171
1277,1,1,1,1,136,136,0,1,109
1278,0,0,30,82,136,136,0,1,219
1279,1,1,3,7,136,136,0,1,121
1280,1,1,19,49,136,136,0,1,235
1281,1,1,17,43,136,136,0,1,130
1282,0,0,12,30,136,136,0,1,241
1283,1,1,2,5,136,136,0,1,146
1284,1,1,8,19,136,136,0,1,252
1285,1,1,18,46,136,136,0,1,154
1286,1,1,6,15,136,136,1,1,266
1287,1,3,34,93,137,137,1,3,23
1288,1,2,31,84,137,137,0,2,17
1289,1,3,33,90,137,137,0,3,35
1290,1,3,27,73,137,137,0,3,30
1291,1,3,25,67,137,137,0,3,49
1292,1,3,29,78,137,137,0,3,42
1293,1,3,24,66,137,137,1,3,67
1294,1,2,32,87,137,137,0,2,53
1295,1,3,23,63,137,137,1,3,90
1296,1,2,11,27,137,137,0,2,69
1297,1,3,35,95,137,137,0,3,115
1298,1,2,22,58,137,137,0,2,88
1299,1,1,8,19,137,137,0,1,122
1300,1,1,16,42,137,137,0,1,93
1301,1,1,7,18,137,137,0,1,130
1302,1,1,9,21,137,137,0,1,99
1303,1,1,2,5,137,137,0,1,141
1304,1,1,4,11,137,137,0,1,112
1305,0,0,12,30,137,137,0,1,153
1306,1,1,3,7,137,137,0,1,123
1307,1,1,2,5,138,138,0,1,11
1308,1,2,28,77,138,138,0,2,14
1309,1,3,23,63,138,138,1,3,117
1310,1,2,22,58,138,138,0,2,36
1311,1,3,35,95,138,138,0,3,138
1312,1,2,5,13,138,138,0,2,44
1313,1,3,29,78,138,138,0,3,153
1314,1,2,21,55,138,138,0,2,89
1315,1,1,4,11,138,138,0,1,166
1316,1,1,12,31,138,138,1,1,102
1317,1,1,17,43,138,138,0,1,191
1318,1,1,30,83,138,138,0,1,130
1319,1,1,7,18,138,138,0,1,200
1320,1,1,3,7,138,138,0,1,143
1321,1,1,18,46,138,138,0,1,209
1322,1,1,16,42,138,138,0,1,148
1323,1,1,19,49,138,138,0,1,224
1324,1,1,6,15,138,138,1,1,207
1325,1,1,8,19,138,138,0,1,238
1326,1,1,9,21,138,138,0,1,216
1327,1,1,18,46,139,139,0,1,9
1328,1,2,20,53,139,139,0,2,7
1329,1,3,35,95,139,139,0,3,16
1330,1,3,29,78,139,139,0,3,12
1331,1,3,25,67,139,139,0,3,24
1332,1,3,34,93,139,139,0,3,19
1333,1,3,23,63,139,139,0,3,30
1334,1,3,27,73,139,139,0,3,24
1335,1,3,33,90,139,139,0,3,47
1336,1,3,24,66,139,139,0,3,32
1337,1,1,9,21,139,139,0,1,53
1338,1,2,31,84,139,139,0,2,51
1339,1,2,11,27,139,139,0,2,58
1340,1,1,16,42,139,139,0,1,56
1341,1,2,32,87,139,139,0,2,66
1342,1,2,21,55,139,139,0,2,92
1343,1,1,30,83,139,139,0,1,82
1344,1,1,3,7,139,139,0,1,105
1345,1,1,12,31,139,139,0,1,110
1346,1,1,1,1,139,139,0,1,117
1347,1,1,19,49,140,140,0,1,9
1348,1,2,21,55,140,140,0,2,21
1349,1,3,33,90,140,140,0,3,21
1350,1,3,27,73,140,140,0,3,24
1351,1,3,29,78,140,140,0,3,24
1352,1,3,25,67,140,140,0,3,32
1353,1,3,34,93,140,140,0,3,30
1354,1,3,24,66,140,140,0,3,36
1355,1,3,35,95,140,140,0,3,35
1356,1,3,23,63,140,140,0,3,41
1357,1,2,10,24,140,140,0,2,43
1358,1,2,22,58,140,140,0,2,51
1359,1,1,17,43,140,140,0,1,53
1360,1,2,32,87,140,140,0,2,54
1361,1,1,2,5,140,140,0,1,65
1362,1,2,28,77,140,140,0,2,63
1363,1,1,7,18,140,140,0,1,72
1364,1,2,20,53,140,140,0,2,71
1365,1,2,11,27,140,140,0,2,78
1366,1,1,18,46,140,140,0,1,88
1367,0,0,2,6,141,141,0,1,8
1368,1,1,12,31,142,142,0,1,8
1369,1,2,20,53,142,142,0,2,6
1370,1,3,23,63,142,142,0,3,14
1371,1,3,24,66,142,142,0,3,16
1372,1,3,35,95,142,142,0,3,18
1373,1,3,25,67,142,142,0,3,31
1374,1,3,29,78,142,142,0,3,23
1375,1,3,33,90,142,142,0,3,41
1376,1,3,27,73,142,142,0,3,26
1377,1,3,34,93,142,142,0,3,45
